epoch time D_loss G_loss mmd2 that pdf real_pdf
310 9845.548920154572 0.10502 9.82569 nan nan NA NA
311 9880.406217336655 0.0887316 10.6505 nan nan NA NA
312 9914.663954019547 0.0814914 13.2773 nan nan NA NA
313 9949.616077899933 0.0774792 10.3282 nan nan NA NA
314 9983.046050786972 0.117664 10.2197 nan nan NA NA
315 10016.504726171494 0.0903682 10.5141 nan nan NA NA
316 10049.590363502502 0.158496 8.45206 nan nan NA NA
317 10083.139511108398 0.0785972 9.68599 nan nan NA NA
318 10116.470849990845 0.076482 10.1307 nan nan NA NA
319 10149.949102640152 0.0912295 10.8954 nan nan NA NA
320 10184.809715032578 0.0798786 11.4743 nan nan NA NA
321 10220.281690597534 0.104974 11.2212 nan nan NA NA
322 10254.57819032669 0.0865825 9.02886 nan nan NA NA
323 10289.07179427147 0.0869594 9.87329 nan nan NA NA
324 10323.51503777504 0.082076 9.94738 nan nan NA NA
325 10357.785121917725 0.100801 10.4093 nan nan NA NA
326 10391.847001552582 0.068097 10.009 nan nan NA NA
327 10427.0868268013 0.0681502 10.8298 nan nan NA NA
328 10461.060160398483 0.106225 10.5229 nan nan NA NA
329 10495.401103019714 0.0934068 10.6203 nan nan NA NA
330 10529.589495897293 0.0517942 11.1381 nan nan NA NA
331 10564.83888554573 0.0717026 11.4976 nan nan NA NA
332 10598.552589893341 0.0720596 12.4646 nan nan NA NA
333 10632.860267877579 0.0704718 12.9278 nan nan NA NA
334 10666.739789009094 0.0706546 12.7614 nan nan NA NA
335 10700.86020231247 0.0838913 12.1401 nan nan NA NA
336 10734.841128587723 0.0636996 11.7343 nan nan NA NA
337 10769.586891412735 0.0394978 13.6759 nan nan NA NA
338 10803.608703374863 0.0788733 11.5108 nan nan NA NA
339 10838.278076410294 0.0769422 11.5979 nan nan NA NA
340 10872.995579957962 0.0714511 11.6031 nan nan NA NA
341 10910.945604085922 0.0765221 11.051 nan nan NA NA
342 10946.117675304413 0.0943434 10.9955 nan nan NA NA
343 10981.184234142303 0.0658746 11.3323 nan nan NA NA
344 11016.470302581787 0.0636519 11.967 nan nan NA NA
345 11051.680663585663 0.0678472 11.6195 nan nan NA NA
346 11087.184007167816 0.0852391 11.4677 nan nan NA NA
347 11122.546269416809 0.0849308 11.1304 nan nan NA NA
348 11158.00387096405 0.0585874 14.0938 nan nan NA NA
349 11192.925359725952 0.077081 13.664 nan nan NA NA
350 11228.464252471924 0.0927738 13.9517 nan nan NA NA
351 11264.314067840576 0.0744317 14.3516 nan nan NA NA
352 11298.503696680069 0.0559783 14.1439 nan nan NA NA
353 11334.810323476791 0.0657101 12.3746 nan nan NA NA
354 11370.35659480095 0.0696498 14.4099 nan nan NA NA
355 11407.29867219925 0.0824277 11.3433 nan nan NA NA
356 11447.101267337799 0.0661881 12.9781 nan nan NA NA
357 11485.290903568268 0.0751324 12.8668 nan nan NA NA
358 11521.52429318428 0.0756771 13.3052 nan nan NA NA
359 11557.424048423767 0.0587234 14.4895 nan nan NA NA
360 11591.597024440765 0.075463 13.3508 nan nan NA NA
361 11628.493366003036 0.0771514 13.2277 nan nan NA NA
362 11665.995030164719 0.0730841 11.8492 nan nan NA NA
363 11702.382906913757 0.107378 11.0004 nan nan NA NA
364 11738.52410030365 0.0706037 11.1795 nan nan NA NA
365 11774.833706855774 0.0851619 11.1914 nan nan NA NA
366 11811.18260216713 0.117116 10.5035 nan nan NA NA
367 11847.861950397491 0.0769414 11.5939 nan nan NA NA
368 11884.371463060379 0.0741333 12.673 nan nan NA NA
369 11921.182301998138 0.102403 11.2247 nan nan NA NA
370 11958.245587587357 0.0963646 12.2677 nan nan NA NA
371 11997.625655889511 0.0845978 12.4704 nan nan NA NA
372 12034.93252658844 0.095209 12.9228 nan nan NA NA
373 12071.877662181854 0.0612228 15.9073 nan nan NA NA
374 12108.918224573135 0.109254 12.685 nan nan NA NA
375 12145.951604366302 0.0863203 12.3199 nan nan NA NA
376 12183.664345026016 0.0822882 12.9796 nan nan NA NA
377 12220.514390707016 0.0962005 13.1802 nan nan NA NA
378 12257.8644323349 0.108716 12.2159 nan nan NA NA
379 12294.831661224365 0.0704975 12.5789 nan nan NA NA
380 12331.874250650406 0.105458 11.1511 nan nan NA NA
381 12370.178034067154 0.107201 11.4646 nan nan NA NA
382 12406.9540746212 0.0793797 13.8851 nan nan NA NA
383 12443.719956874847 0.100148 12.3478 nan nan NA NA
384 12480.473388671875 0.0807467 11.9219 nan nan NA NA
385 12515.216700792313 0.0611806 12.8123 nan nan NA NA
386 12550.515347719193 0.0778168 12.9839 nan nan NA NA
387 12588.07286643982 0.0883678 11.1567 nan nan NA NA
388 12623.316722631454 0.104189 12.7084 nan nan NA NA
389 12659.5557243824 0.0815345 11.6059 nan nan NA NA
390 12696.613057374954 0.0742522 10.978 nan nan NA NA
